Type	Checked?	Remedy	Position	Validation error	Text of example
T			2.10.1 example 1	"The element type ""w:settings"" must be terminated by the matching end-tag ""</w:settings>"". Nested exception: The element type ""w:settings"" must be terminated by the matching end-tag ""</w:settings>""."	 <w:settings>  …  <w:evenAndOddHeaders />  …</w:setttings> 
?			2.10.2 example 1	"Code is not well-formed XML : org.dom4j.DocumentException: Error on line 2 of document  : Open quote is expected for attribute ""{1}"" associated with an  element type  ""xmlns"". Nested exception: Open quote is expected for attribute ""{1}"" associated with an  element type  ""xmlns""."	 <Relationships
?			2.10.5 example 1	"Code is not well-formed XML : org.dom4j.DocumentException: Error on line 2 of document  : Open quote is expected for attribute ""{1}"" associated with an  element type  ""xmlns"". Nested exception: Open quote is expected for attribute ""{1}"" associated with an  element type  ""xmlns""."	 <Relationships
E			2.11.14 example 2	 cvc-complex-type.3.2.2: Attribute 'w:suppressRef' is not allowed to appear in element 'w:footnote'. ::: 	" <w:footnotes>    <w:footnote w:id=""0"">      …    </w:footnote>    <w:footnote w:suppressRef=""1"" w:id=""2"">      …    </w:footnote>    <w:footnote w:id=""2"">      …    </w:footnote>  </w:footnotes>   "
T			2.11.21 example 2	"The element type ""w:settings"" must be terminated by the matching end-tag ""</w:settings>"". Nested exception: The element type ""w:settings"" must be terminated by the matching end-tag ""</w:settings>""."	" <w:settings>  …  <w:footnotePr>    <w:pos w:val=""beneathText"" />  </w:footnotePr>  …</w:sectPr> "
E			2.11.22 example 2	" cvc-enumeration-valid: Value 'endSect' is not facet-valid with respect to enumeration '[sectEnd, docEnd]'. It must be a value from the enumeration. ::: "	" <w:settings>    <w:endnotePr>      <w:pos w:val=""endSect"" />    </w:endnotePr>    …  </w:settings> "
E			2.11.7 example 2	 cvc-complex-type.3.2.2: Attribute 'w:suppressRef' is not allowed to appear in element 'w:footnote'. ::: 	" <w:footnotes>    <w:footnote w:id=""0"">      …    </w:footnote>    <w:footnote w:suppressRef=""1"" w:id=""2"">      …    </w:footnote>    <w:footnote w:id=""2"">      …    </w:footnote>  </w:footnotes>   "
E			2.12.1 example 1	"The element type ""w:behaviors"" must be terminated by the matching end-tag ""</w:behaviors>"". Nested exception: The element type ""w:behaviors"" must be terminated by the matching end-tag ""</w:behaviors>""."	" <w:docPart>  <w:docPartPr>    <w:behaviors>      <w:behavior w:val=""p""/>    </w:behavior>    …  </w:docPartPr>  <w:docPartBody>    <w:p>      <w:r>        <w:t>Sample entry.</w:t>      </w:r>    </w:p>  </w:docPartBody></w:docPart> "
E			2.12.1 example 4	"The element type ""w:behaviors"" must be terminated by the matching end-tag ""</w:behaviors>"". Nested exception: The element type ""w:behaviors"" must be terminated by the matching end-tag ""</w:behaviors>""."	" <w:docPartPr>  <w:behaviors>    <w:behavior w:val=""content""/>  </w:behavior></w:docPartPr> "
T			2.12.11 example 1	XML document structures must start and end within the same entity. Nested exception: XML document structures must start and end within the same entity.	" <w:docPartPr>  …  <w:guid w:val=""{00000000-5BD2-4BC8-9F70-7020E1357FB2}"" />  …<w:docPartPr> "
